ticker,cohort,cik,company,revenue,research_and_development,selling_general_admin,operating_income,net_income,operating_cash_flow,capex,cash,total_debt,stockholders_equity,current_assets,current_liabilities,free_cash_flow_proxy,fcf_margin_proxy,rd_percent_revenue,sga_percent_revenue,net_cash_proxy,current_ratio,revenue_concept,research_and_development_concept,selling_general_admin_concept,operating_income_concept,net_income_concept,operating_cash_flow_concept,capex_concept,cash_concept,total_debt_concept,stockholders_equity_concept,current_assets_concept,current_liabilities_concept,revenue_period_end,research_and_development_period_end,selling_general_admin_period_end,operating_income_period_end,net_income_period_end,operating_cash_flow_period_end,capex_period_end,cash_period_end,total_debt_period_end,stockholders_equity_period_end,current_assets_period_end,current_liabilities_period_end,revenue_fiscal_year,research_and_development_fiscal_year,selling_general_admin_fiscal_year,operating_income_fiscal_year,net_income_fiscal_year,operating_cash_flow_fiscal_year,capex_fiscal_year,cash_fiscal_year,total_debt_fiscal_year,stockholders_equity_fiscal_year,current_assets_fiscal_year,current_liabilities_fiscal_year
CRWD,cybersecurity,0001535527,"CrowdStrike Holdings, Inc.",4812005000.0,1384770000.0,,-293292000.0,-162502000.0,1612349000.0,302108000.0,5230125000.0,,4428390000.0,7419119000.0,4184192000.0,1310241000.0,0.2722858766771855,0.2877740151974073,,,1.773130630716755,RevenueFromContractWithCustomerIncludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026,2026,,2026,2026,2026,2026,2026,,2026,2026,2026
FTNT,cybersecurity,0001262039,"Fortinet, Inc.",6799600000.0,815500000.0,,2084700000.0,1853400000.0,2590600000.0,364800000.0,2495300000.0,,1237500000.0,5900200000.0,5034000000.0,2225800000.0,0.3273427848696982,0.11993352550150009,,,1.1720699245133095,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquireProductiveAssets,CashAndCashEquivalentsAtCarryingValue,,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-12-31,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025,2025,,2025,2025,2025,2025,2025,,2025,2025,2025
OKTA,cybersecurity,0001660134,"Okta, Inc.",2919000000.0,639000000.0,,149000000.0,235000000.0,884000000.0,9000000.0,858000000.0,,6999000000.0,3644000000.0,2554000000.0,875000000.0,0.2997601918465228,0.21891058581706063,,,1.4267815191855913,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026,2026,,2026,2026,2026,2026,2026,,2026,2026,2026
PANW,cybersecurity,0001327567,Palo Alto Networks Inc,9221500000.0,1984100000.0,,1242900000.0,1133900000.0,3716000000.0,246200000.0,2268600000.0,1991500000.0,7824400000.0,7522800000.0,7988000000.0,3469800000.0,0.37627284064414684,0.21516022339098845,,277100000.0,0.9417626439659489,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquireProductiveAssets,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-07-31,2025-07-31,,2025-07-31,2025-07-31,2025-07-31,2025-07-31,2025-07-31,2023-07-31,2025-07-31,2025-07-31,2025-07-31,2025,2025,,2025,2025,2025,2025,2025,2023,2025,2025,2025
ZS,cybersecurity,0001713683,"Zscaler, Inc.",2673115000.0,672485000.0,,-128460000.0,-41478000.0,972453000.0,164252000.0,2389023000.0,1142275000.0,1799273000.0,4894290000.0,2429611000.0,808201000.0,0.3023442687650924,0.25157353873664245,,1246748000.0,2.0144335862819194,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-07-31,2025-07-31,,2025-07-31,2025-07-31,2025-07-31,2025-07-31,2025-07-31,2024-07-31,2025-07-31,2025-07-31,2025-07-31,2025,2025,,2025,2025,2025,2025,2025,2024,2025,2025,2025
AAPL,big_tech,0000320193,Apple Inc.,416161000000.0,34550000000.0,27601000000.0,133050000000.0,112010000000.0,111482000000.0,12715000000.0,35934000000.0,90678000000.0,73733000000.0,147957000000.0,165631000000.0,98767000000.0,0.23732882225869315,0.08302075398703868,0.06632288945864702,-54744000000.0,0.8932929222186667,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
AMZN,big_tech,0001018724,AMAZON COM INC,716924000000.0,,,79975000000.0,77670000000.0,139514000000.0,131819000000.0,86810000000.0,68836000000.0,411065000000.0,229083000000.0,218005000000.0,7695000000.0,0.010733355278941701,,,17974000000.0,1.0508153482718285,RevenueFromContractWithCustomerExcludingAssessedTax,,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquireProductiveAssets,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-12-31,,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,,,2025,2025,2025,2025,2025,2025,2025,2025,2025
GOOGL,big_tech,0001652044,Alphabet Inc.,402836000000.0,61087000000.0,,129039000000.0,132170000000.0,164713000000.0,91447000000.0,30708000000.0,49085000000.0,415265000000.0,206038000000.0,102745000000.0,73266000000.0,0.18187550268595656,0.15164235569810047,,-18377000000.0,2.005333592875566,Revenues,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-12-31,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2025,,2025,2025,2025,2025,2025,2025,2025,2025,2025
META,big_tech,0001326801,"Meta Platforms, Inc.",200966000000.0,57372000000.0,,83276000000.0,60458000000.0,115800000000.0,69691000000.0,35873000000.0,58744000000.0,217243000000.0,108722000000.0,41836000000.0,46109000000.0,0.2294368201586338,0.2854811261606441,,-22871000000.0,2.5987666124868536,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-12-31,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2025,,2025,2025,2025,2025,2025,2025,2025,2025,2025
MSFT,big_tech,0000789019,MICROSOFT CORP,281724000000.0,32488000000.0,,128528000000.0,101832000000.0,136162000000.0,64551000000.0,30242000000.0,43151000000.0,343479000000.0,191131000000.0,141218000000.0,71611000000.0,0.2541884965427156,0.11531853871164686,,-12909000000.0,1.3534464445042416,RevenueFromContractWithCustomerExcludingAssessedTax,ResearchAndDevelopmentExpense,,OperatingIncomeLoss,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,StockholdersEquity,AssetsCurrent,LiabilitiesCurrent,2025-06-30,2025-06-30,,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025,2025,,2025,2025,2025,2025,2025,2025,2025,2025,2025
