ticker,cohort,cik,company,latest_10k_filing_date,latest_10k_url,cybersecurity_mentions,explicit_cybersecurity_spending_found,cybersecurity_dollar_amounts_nearby,spending_search_note,representative_snippets
CRWD,cybersecurity,0001535527,"CrowdStrike Holdings, Inc.",2026-03-05,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000010/crwd-20260131.htm,152,False,$ 213.7 million; $ 13.7 million; $ 0.7 million; $ 96.4 million; $ 0.8 million; $ 0.5 million,No explicit cybersecurity spending line item found in latest 10-K text scan.,"e United States Securities and Exchange Commission within 120 days after the end of the fiscal year to which this Annual Report on Form 10-K relates. Table of Contents CROWDSTRIKE HOLDINGS, INC. TABLE OF CONTENTS Page No. Part I Item 1. Business 4 Item 1A. Risk Factors 21 Item 1B. Unresolved Staff Comments 56 Item 1C. Cybersecurity 56 Item 2. Properties 57 Item 3. Legal Proceedings 57 Item 4. Mine Safety Disclosures 57 Part II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 58 Item 6. [Reserved] 59 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || ns website, and to review the information disclosed through such channels. Any updates to the list of disclosure channels through which we will announce information will be posted on the investor relations page on our website. 3 Table of Contents PART I ITEM 1. BUSINESS Overview Founded in 2011, CrowdStrike reinvented cybersecurity for the cloud and artificial intelligence (“AI”) era and transformed the way cybersecurity is delivered and experienced by customers. When we started CrowdStrike, cyberattackers had an asymmetric advantage over legacy cybersecurity products that could not keep pace with rapid changes in adversary tactics, a dynamic th || he list of disclosure channels through which we will announce information will be posted on the investor relations page on our website. 3 Table of Contents PART I ITEM 1. BUSINESS Overview Founded in 2011, CrowdStrike reinvented cybersecurity for the cloud and artificial intelligence (“AI”) era and transformed the way cybersecurity is delivered and experienced by customers. When we started CrowdStrike, cyberattackers had an asymmetric advantage over legacy cybersecurity products that could not keep pace with rapid changes in adversary tactics, a dynamic that has intensified as adversaries increasingly leverage automation, identity abuse, and AI || le of Contents PART I ITEM 1. BUSINESS Overview Founded in 2011, CrowdStrike reinvented cybersecurity for the cloud and artificial intelligence (“AI”) era and transformed the way cybersecurity is delivered and experienced by customers. When we started CrowdStrike, cyberattackers had an asymmetric advantage over legacy cybersecurity products that could not keep pace with rapid changes in adversary tactics, a dynamic that has intensified as adversaries increasingly leverage automation, identity abuse, and AI to operate at machine speed. We took a fundamentally different approach to solve this problem with the AI-native CrowdStrike Falcon cybersecu || rsecurity products that could not keep pace with rapid changes in adversary tactics, a dynamic that has intensified as adversaries increasingly leverage automation, identity abuse, and AI to operate at machine speed. We took a fundamentally different approach to solve this problem with the AI-native CrowdStrike Falcon cybersecurity platform, which serves as the operating system for cybersecurity. CrowdStrike built the first, true, cloud-native platform with AI at the core, capable of harnessing vast amounts of security and enterprise data to drive real-time security decisions and response – stopping breaches at scale through a single lightweight"
FTNT,cybersecurity,0001262039,"Fortinet, Inc.",2026-02-25,https://www.sec.gov/Archives/edgar/data/1262039/000126203926000007/ftnt-20251231.htm,166,False,$6.80 billion; $1.85 billion; $5.96 billion; $2.22 billion,No explicit cybersecurity spending line item found in latest 10-K text scan.,"change Commission within 120 days after the end of the fiscal year to which this report relates . FORTINET, INC. ANNUAL REPORT ON FORM 10-K For the Year Ended December 31, 2025 Table of Contents Page Risk Factor Summary 1 Part I Item 1. Business 3 Item 1A. Risk Factors 12 Item 1B. Unresolved Staff Comments 48 Item 1C. Cybersecurity 49 Item 2. Properties 51 Item 3. Legal Proceedings 51 Item 4. Mine Safety Disclosures 51 Part II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 52 Item 6. [Reserved] 54 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || y geopolitical instability, changes in trade agreements, wars and foreign conflicts, such as the war in Ukraine, tensions between China and Taiwan or conflicts in the Middle East, could adversely affect our business and financial performance. 2 Table of Contents Part I ITEM 1. Business Overview Fortinet is a leader in cybersecurity, driving the convergence of networking and security. Our mission is to secure people, devices and data everywhere. Our integrated platform, the Fortinet Security Fabric, spans secure networking, unified Secure Access Service Edge (“SASE”) and artificial intelligence (“AI”)-driven security operations (“SecOps”). As of || policies across all form factors and edges. As the foundational engine of the Fortinet Security Fabric, FortiOS empowers organizations to unify management and analytics, providing network visibility and control at scale. FortiOS includes advanced encryption and other security technologies designed to address evolving cybersecurity threats, including emerging quantum-resistant cryptographic capabilities. • FortiASIC —Our Application-Specific Integrated Circuit (“ASIC”)-based security processing units (“SPUs”) increase the speed, scale, efficiency and value of our solutions while reducing footprint and power requirements. From branch and campus t || stem, FortiOS, including Next-Gen Firewall, SD-WAN, ZTNA, secure web gateway, cloud access security broker and DLP. This native integration of our Next-Gen Firewall, SD-WAN and SASE has become the New-Generation SASE Firewall. • AI-Driven Security Operations (SecOps) —Our AI-Driven SecOps portfolio provides a suite of cybersecurity solutions that identify, protect, detect, respond and recover from threats, all integrated within the Fortinet Security Fabric. At the core is FortiAnalyzer, which serves as the central SOC platform with its unified data lake that provides: built-in security information and event management (“SIEM”); security, orchest || ap into FortiGuard services, including SOC-as-a-Service (“SOCaaS”), Managed detection and response (“MDR”), Security Posture Assessment and Incident Response. Finally, FortiAI generative AI assistance streamlines operations, helping security teams stay ahead of an ever-evolving threat landscape. FortiGuard Labs is our cybersecurity threat intelligence and research organization comprised of experienced threat hunters, researchers, analysts, engineers and data scientists who develop and utilize ML and AI technologies to provide timely protection updates and actionable threat intelligence for the benefit of our customers. Using millions of global n"
OKTA,cybersecurity,0001660134,"Okta, Inc.",2026-03-05,https://www.sec.gov/Archives/edgar/data/1660134/000166013426000020/okta-20260131.htm,107,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"t:MinimumMember okta:MarketBasedRSUsMember 2025-03-01 2025-03-31 0001660134 srt:MaximumMember okta:MarketBasedRSUsMember 2025-03-01 2025-03-31 0001660134 srt:MaximumMember okta:MarketBasedRSUsMember 2024-03-01 2024-03-31 0001660134 srt:MaximumMember okta:MarketBasedRSUsMember 2023-03-01 2023-03-31 0001660134 okta:SperaCybersecurityMember us-gaap:RestrictedStockMember 2026-01-31 0001660134 okta:SperaCybersecurityMember us-gaap:RestrictedStockMember 2025-02-01 2026-01-31 0001660134 srt:MinimumMember us-gaap:EmployeeStockMember 2025-02-01 2026-01-31 0001660134 srt:MaximumMember us-gaap:EmployeeStockMember 2025-02-01 2026-01-31 0001660134 srt:Minimu || ximumMember okta:MarketBasedRSUsMember 2025-03-01 2025-03-31 0001660134 srt:MaximumMember okta:MarketBasedRSUsMember 2024-03-01 2024-03-31 0001660134 srt:MaximumMember okta:MarketBasedRSUsMember 2023-03-01 2023-03-31 0001660134 okta:SperaCybersecurityMember us-gaap:RestrictedStockMember 2026-01-31 0001660134 okta:SperaCybersecurityMember us-gaap:RestrictedStockMember 2025-02-01 2026-01-31 0001660134 srt:MinimumMember us-gaap:EmployeeStockMember 2025-02-01 2026-01-31 0001660134 srt:MaximumMember us-gaap:EmployeeStockMember 2025-02-01 2026-01-31 0001660134 srt:MinimumMember us-gaap:EmployeeStockMember 2024-02-01 2025-01-31 0001660134 srt:MaximumMe || ment will be filed with the Securities and Exchange Commission within 120 days of the registrant's fiscal year ended January 31, 2026. Okta, Inc. Form 10-K For the Fiscal Year Ended January 31, 2026 TABLE OF CONTENTS Page Part I Item 1. Business 4 Item 1A. Risk Factors 15 Item 1B. Unresolved Staff Comments 40 Item 1C. Cybersecurity 40 Item 2. Properties 42 Item 3. Legal Proceedings 42 Item 4. Mine Safety Disclosures 42 Part II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 43 Item 6. [Reserved] 44 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || enhance existing solutions and address new use cases; • our ability to successfully expand our existing marketing and sales capabilities, including further specializing our go-to-market organization; • our ability to expand our product sales by promoting our brand and engaging channel partners; • potential impacts of cybersecurity incidents to our reputation, customer relations and financial results; • our ability to detect, minimize or prevent security breaches to our internal systems and our platforms; • our ability to maintain the security and service performance of our and our third-party service providers’ systems or data, or our customers || evelopers to leverage the Auth0 Platform to secure and scale agentic applications from pilot to production. Through our broad and deep product offerings that support a wide range of workforce and customer identity use cases, we deliver multiple critical business outcomes for our customers. These include boosting their cybersecurity posture, reducing IT spending, addressing regulations, reducing fraud, increasing new customer conversions, creating frictionless customer experiences and helping technical teams deliver products to market faster. Our Technology We focus on engineering an intuitive and comprehensive platform to solve complex identity"
PANW,cybersecurity,0001327567,Palo Alto Networks Inc,2025-08-29,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/panw-20250731.htm,144,False,$ 464.0; $ 476.0; $ 634.5 million; $ 607.4; $ 634.5; $ 106.5 million; $ 750.0 million; $ 255.4 million; $ 247.6; $ 255.4; $ 45.4; $ 458.6 million; $ 439.0; $ 458.6; $9.2 billion; $8.0 billion,No explicit cybersecurity spending line item found in latest 10-K text scan.,yAwardsMember 2023-12-05 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember us-gaap:RestrictedStockMember 2023-12-05 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-05 2023-12-05 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember panw:ReplacementEquityAwardsMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:RestrictedStockMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 0001327567 panw:TalonCyberSecurityLt || utionsLtdMember us-gaap:RestrictedStockMember 2023-12-05 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-05 2023-12-05 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember panw:ReplacementEquityAwardsMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:RestrictedStockMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-28 2023-12 || onsLtdMember 2023-12-05 0001327567 panw:DigSecuritySolutionsLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-05 2023-12-05 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember panw:ReplacementEquityAwardsMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:RestrictedStockMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-28 2023-12-28 0001327567 panw:CiderSecurityLtdMember 2022-12-20 2022-12-20 0001327567 panw:CiderSecurityLtdMemb || yRightsMember 2023-12-05 2023-12-05 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember panw:ReplacementEquityAwardsMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:RestrictedStockMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-28 2023-12-28 0001327567 panw:CiderSecurityLtdMember 2022-12-20 2022-12-20 0001327567 panw:CiderSecurityLtdMember panw:ReplacementEquityAwardsMember 2022-12-20 2022-12-20 0001327567 panw:CiderSecurityLtdMemb || onCyberSecurityLtdMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember panw:ReplacementEquityAwardsMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:RestrictedStockMember 2023-12-28 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember 2023-12-28 0001327567 panw:TalonCyberSecurityLtdMember us-gaap:DevelopedTechnologyRightsMember 2023-12-28 2023-12-28 0001327567 panw:CiderSecurityLtdMember 2022-12-20 2022-12-20 0001327567 panw:CiderSecurityLtdMember panw:ReplacementEquityAwardsMember 2022-12-20 2022-12-20 0001327567 panw:CiderSecurityLtdMember us-gaap:RestrictedStockMember 2022-12-20 2022-12-20
ZS,cybersecurity,0001713683,"Zscaler, Inc.",2025-09-11,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000158/zs-20250731.htm,84,True,$ 13.5 million; $ 9.5 million; $ 4.5 million; $ 675.0 million,Potential cybersecurity spend language found near a dollar amount. Review snippets manually.,"oxy Statement will be filed with the United States Securities and Exchange Commission within 120 days after the end of the fiscal year to which this Annual Report on Form 10-K relates. ZSCALER, INC. TABLE OF CONTENTS Page PART I Item 1. Business 3 Item 1A. Risk Factors 20 Item 1B. Unresolved Staff Comments 58 Item 1C. Cybersecurity 58 Item 2. Properties 59 Item 3. Legal Proceedings 59 Item 4. Mine Safety Disclosures 59 PART II Item 5. Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 60 Item 6. Reserved 62 Item 7. Management's Discussion and Analysis of Financial Condition and Results of || mlessly access applications and data, wherever they are hosted, from any device, anywhere in the world. The emergence and rapid adoption of artificial intelligence, or AI, is revolutionizing the transformational impact of cloud adoption and mobility. AI is fundamentally changing how organizations operate, creating new cybersecurity threats and IT challenges. Our cloud native, multitenant architecture is distributed across more than 160 public exchanges globally and thousands of private exchanges at the edge, which brings security and business policy close to users and devices in over 185 countries and provides fast, secure and reliable access. E || to augment our customers’ security operations capabilities and reduce reliance on extensive internal resources or specialized expertise. This capability leverages advanced technologies including agentic workflows, AI-supported threat intelligence, expert analysis and automated runbooks to identify and address complex cybersecurity threats. • Identity Protection: Attackers commonly target users and identities as the point of entry and use that access to escalate privileges and move laterally. Our Identity Protection capability provides continuous visibility into identity misconfigurations and at-risk permissions by scanning common identity provi || le to remediate or otherwise respond to a breach or other incident in a timely manner. Actual, 29 Table of Contents perceived or purported security breaches of our cloud platform could result in actual, perceived or purported breaches of our customers’ networks and systems. Our internal systems are exposed to the same cybersecurity risks and consequences of a breach as our customers and other enterprises. However, since our business is focused on providing reliable security services to our customers, we believe that an actual, perceived or purported breach of, or security incident affecting, our internal networks, systems or data, could be espec || nvironments that may impact our ability to attract and retain employees. We have from time to time experienced, and we may continue to experience, difficulty in hiring and retaining employees with appropriate qualifications. For example, in recent years, recruiting, hiring and retaining employees with expertise in the cybersecurity industry has become increasingly difficult as the demand for cybersecurity professionals has increased as a result of the ongoing cybersecurity attacks on global corporations and governments. Many of the companies with which we compete for experienced personnel have greater resources than we have. In addition, job can"
AAPL,big_tech,0000320193,Apple Inc.,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,30,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"filed with the U.S. Securities and Exchange Commission within 120 days after the end of the fiscal year to which this report relates. Apple Inc. Form 10-K For the Fiscal Year Ended September 27, 2025 TABLE OF CONTENTS Page Part I Item 1. Business 1 Item 1A. Risk Factors 5 Item 1B. Unresolved Staff Comments 17 Item 1C. Cybersecurity 17 Item 2. Properties 17 Item 3. Legal Proceedings 18 Item 4. Mine Safety Disclosures 18 Part II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 19 Item 6. [Reserved] 20 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || frequently or with more intense effects. In addition, the Company’s and its suppliers’ operations, retail stores and facilities are subject to the risk of interruption by fire, power shortages, nuclear power plant accidents and other industrial accidents, terrorist attacks and other hostile acts, ransomware and other cybersecurity attacks, labor disputes, public health issues and other events beyond the Company’s control. Such events can make it difficult or impossible for the Company to manufacture and deliver products to its customers, create delays and inefficiencies in the Company’s supply and manufacturing chain, result in slowdowns and ou || dependent on complex information technology systems and are exposed to information technology system failures or network disruptions caused by natural disasters, accidents, power disruptions, telecommunications failures, acts of terrorism or war, computer viruses, physical or electronic break-ins, ransomware or other cybersecurity incidents, or other events or disruptions. System upgrades, redundancy and other continuity measures may be ineffective or inadequate, and the Company’s or its vendors’ business continuity and disaster recovery planning may not be sufficient for all eventualities. Such failures or disruptions can adversely impact the || o meet expectations related to future growth, profitability, dividends, share repurchases or other market expectations, the price of the Company’s stock may decline significantly, which could have a material adverse impact on investor confidence and employee retention. Item 1B. Unresolved Staff Comments None. Item 1C. Cybersecurity The Company’s management, led by its Head of Corporate Information Security, has overall responsibility for identifying, assessing and managing any material risks from cybersecurity threats. The Company’s Head of Corporate Information Security leads a dedicated Information Security team of highly skilled individuals w || ich could have a material adverse impact on investor confidence and employee retention. Item 1B. Unresolved Staff Comments None. Item 1C. Cybersecurity The Company’s management, led by its Head of Corporate Information Security, has overall responsibility for identifying, assessing and managing any material risks from cybersecurity threats. The Company’s Head of Corporate Information Security leads a dedicated Information Security team of highly skilled individuals with experience across industries that, among other things, develops and distributes information security policies, standards and procedures; engages in employee cybersecurity trainin"
AMZN,big_tech,0001018724,AMAZON COM INC,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,41,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"with the Securities and Exchange Commission within 120 days after the end of the fiscal year to which this Report relates. Table of Contents AMAZON.COM, INC. FORM 10-K For the Fiscal Year Ended December 31, 2025 INDEX Page PART I Item 1. Business 3 Item 1A. Risk Factors 6 Item 1B. Unresolved Staff Comments 17 Item 1C. Cybersecurity 17 Item 2. Properties 18 Item 3. Legal Proceedings 18 Item 4. Mine Safety Disclosures 18 PART II Item 5. Market for the Registrant’s Common Stock, Related Shareholder Matters, and Issuer Purchases of Equity Securities 19 Item 6. Reserved 19 Item 7. Management’s Discussion and Analysis of Financial Condition and Result || ense requirements that may restrict (i) foreign investment in and operation of the internet, IT infrastructure, data centers, retail, delivery, and other sectors, (ii) internet content, and (iii) the sale of media and other products and services. For example, in order to meet local ownership, regulatory licensing, and cybersecurity requirements, we provide 7 Table of Contents certain technology services in China through contractual relationships with third parties that hold PRC licenses to provide services. In India, the government restricts the ownership or control of Indian companies by foreign entities involved in online multi-brand retail tr || dition, because China-based sellers account for significant portions of our third-party seller services and advertising revenues, and China-based suppliers provide significant portions of our components and finished goods, regulatory and trade restrictions, tariff policy changes and trade disputes, data protection and cybersecurity laws, economic factors, geopolitical events, security issues, or other factors negatively impacting China-based sellers and suppliers could adversely affect our operating results. The Variability in Our Retail Business Places Increased Strain on Our Operations Demand for our products and services can fluctuate signifi || of payments, forfeiture of profits, payment of fines, and suspension or debarment from future government business. In addition, some of these contracts are subject to periodic funding approval and/or provide for termination by the government at any time, without cause. Item 1B. Unresolved Staff Comments None. Item 1C. Cybersecurity We have processes in place for assessing, identifying, and managing material risks from potential unauthorized occurrences on or through our electronic information systems that could adversely affect the confidentiality, integrity, or availability of our information systems or the information residing on those systems || information that we collect, process, store, and transmit as part of our business, including on behalf of third parties. We also use systems and processes designed to reduce the impact of a security incident at a third-party vendor or customer. Additionally, we use processes to oversee and identify material risks from cybersecurity threats associated with our use of third-party technology and systems, including: artificial intelligence technologies; technology and systems we use for encryption and authentication; employee email and other communication technologies; content delivery to customers; back-office support; and other functions . As part"
GOOGL,big_tech,0001652044,Alphabet Inc.,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,36,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"ys of the registrant’s fiscal year ended December 31, 2025. Table of Contents Alphabet Inc. Alphabet Inc. Form 10-K For the Fiscal Year Ended December 31, 2025 TABLE OF CONTENTS Page Note About Forward-Looking Statements 3 PART I Item 1. Business 3 Item 1A. Risk Factors 9 Item 1B. Unresolved Staff Comments 23 Item 1C. Cybersecurity 23 Item 2. Properties 24 Item 3. Legal Proceedings 24 Item 4. Mine Safety Disclosures 24 PART II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities 25 Item 6. [Reserved] 27 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || ient AI software. • Developer Platform: delivers a fully managed AI development platform, through Vertex AI, for accessing, tuning, augmenting, and deploying custom models and agents, helping customers build applications with more than 200 foundation models, including our Gemini family, third-party, and open models. • Cybersecurity: provides AI-powered threat intelligence and cybersecurity solutions to help customers detect, analyze, protect against, and respond to a broad range of cybersecurity threats. • Data and Analytics: enables customers to migrate, clean, prepare, and feed data into their models. Our data platform also unifies data lakes, || naged AI development platform, through Vertex AI, for accessing, tuning, augmenting, and deploying custom models and agents, helping customers build applications with more than 200 foundation models, including our Gemini family, third-party, and open models. • Cybersecurity: provides AI-powered threat intelligence and cybersecurity solutions to help customers detect, analyze, protect against, and respond to a broad range of cybersecurity threats. • Data and Analytics: enables customers to migrate, clean, prepare, and feed data into their models. Our data platform also unifies data lakes, data warehouses, data governance, and advanced machine lea || dels and agents, helping customers build applications with more than 200 foundation models, including our Gemini family, third-party, and open models. • Cybersecurity: provides AI-powered threat intelligence and cybersecurity solutions to help customers detect, analyze, protect against, and respond to a broad range of cybersecurity threats. • Data and Analytics: enables customers to migrate, clean, prepare, and feed data into their models. Our data platform also unifies data lakes, data warehouses, data governance, and advanced machine learning into a single platform that helps users analyze data using AI models across any cloud. • Agents: ◦ Gem || ls to support these tools and technologies, including the development of our custom TPUs and how we deliver them to our customers. We are incurring significant and increasing costs and new liabilities, including contingent liabilities, to build and maintain infrastructure to support cloud computing services, invest in cybersecurity, and hire talent. Meanwhile, our competitors are rapidly developing and deploying cloud-based services and capacity. Pricing and delivery models, which are subject to increasing regulatory scrutiny and requirements, are competitive and constantly evolving, and we may therefore not achieve our business objectives. Furt"
META,big_tech,0001326801,"Meta Platforms, Inc.",2026-01-29,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,58,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"Commission within 120 days of the registrant's fiscal year ended December 31, 2025. Meta Platforms, Inc. Form 10-K TABLE OF CONTENTS Page Note About Forward-Looking Statements 3 Limitations of Key Metrics and Other Data 4 PART I Item 1. Business 6 Item 1A. Risk Factors 12 Item 1B. Unresolved Staff Comments 48 Item 1C. Cybersecurity 48 Item 2. Properties 51 Item 3. Legal Proceedings 51 Item 4. Mine Safety Disclosures 57 PART II Item 5. Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 58 Item 6. [Reserved] 59 Item 7. Management's Discussion and Analysis of Financial Condition and Results || rative AI and superintelligence, subject us to risks related to harmful or illegal content, accuracy, misinformation and deepfakes (including related to elections), bias, discrimination, toxicity, consumer protection, products liability, intellectual property infringement or misappropriation, defamation, data privacy, cybersecurity, and sanctions and export controls, among others. It is also uncertain how various laws related to online services, intermediary liability, and other issues will apply to content generated by AI. In addition, we are subject to the risks of new or enhanced governmental or regulatory scrutiny and enforcement, litigation || ral. As a result of the complexity and rapid development of AI, it is also the subject of evolving review and investigation by various governmental and regulatory agencies in jurisdictions around the world, which are applying, or are considering applying, platform moderation, intellectual property, products liability, cybersecurity, export controls, consumer protection, and data protection laws to AI and/or are considering general legal frameworks on AI (such as the EU AI Act). We may not always be able to anticipate how courts and regulators will apply existing laws to AI, predict how new legal frameworks will develop to address AI, or otherwis || ay utilize such AI technologies. As such, we cannot guarantee that third parties will not use such AI technologies for improper purposes, including through the dissemination of illegal, inaccurate, defamatory or harmful content, intellectual property infringement or misappropriation, furthering bias or discrimination, cybersecurity attacks including spear phishing attacks, data privacy violations, other societal harms, including activities that threaten people's safety or well-being on- or offline, or to develop competing technologies. While we may mitigate certain risks associated with the improper use of our AI models through both technical me || our remediation 43 Table of Contents efforts will be successful. Our business and operations span numerous geographies around the world and involve thousands of employees, contractors, vendors, developers, partners, and other third parties, including AI and cloud services. At any given time, we face known and unknown cybersecurity risks and threats that are not fully mitigated, and we discover vulnerabilities in our security efforts. In addition, some of our developers or other partners, such as those that help us measure the effectiveness of ads, may receive or store information provided by us or by our users through mobile or web applications"
MSFT,big_tech,0000789019,MICROSOFT CORP,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,69,False,,No explicit cybersecurity spending line item found in latest 10-K text scan.,"ng of Shareholders to be held on December 5, 2025 are incorporated by reference into Part III. MICROSOFT CORPORATION FORM 10-K For the Fiscal Year Ended June 30, 2025 INDEX Page PART I Item 1. Business 3 Information about our Executive Officers 14 Item 1A. Risk Factors 16 Item 1B. Unresolved Staff Comments 30 Item 1C. Cybersecurity 30 Item 2. Properties 32 Item 3. Legal Proceedings 32 Item 4. Mine Safety Disclosures 32 PART II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities 33 Item 6. [Reserved] 34 Item 7. Management’s Discussion and Analysis of Financial Condition and Results || ucts from hyperscalers, as well as products from other emerging competitors and other open source offerings, many of which are also current or potential partners. Our Azure Security offerings include our cloud security solution and security information and event management solution, which compete with providers in the cybersecurity and cloud security space. We believe our cloud’s global scale, coupled with our broad portfolio of identity and security solutions, allows us to effectively solve complex cybersecurity challenges for our customers and differentiates us from the competition. Our server products face competition from a wide variety of s || erings include our cloud security solution and security information and event management solution, which compete with providers in the cybersecurity and cloud security space. We believe our cloud’s global scale, coupled with our broad portfolio of identity and security solutions, allows us to effectively solve complex cybersecurity challenges for our customers and differentiates us from the competition. Our server products face competition from a wide variety of server operating systems and applications offered by companies with a range of market approaches. Vertically integrated computer manufacturers offer their own versions of the Unix operat || f these transactions and arrangements depend in part on our ability to leverage them to enhance our existing products and services or develop compelling new ones, as well as the acquired companies’ ability to meet our policies and processes in areas such as data governance, privacy, digital safety, responsible AI, and cybersecurity. It may take longer than expected to realize the full economic benefits from these transactions and arrangements, such as increased revenue or enhanced efficiencies, or the benefits may ultimately be smaller than we expected, which could cause an impairment of goodwill or intangibles. We have recorded, and may in the || dwill or amortizable intangible assets is determined, negatively affecting our results of operations. In addition, an acquisition may be subject to challenge even after it has been completed. These events could adversely affect our business, operations, financial condition, and results of operations. 18 PART I Item 1A CYBERSECURITY, DATA PRIVACY, AND PLATFORM ABUSE RISKS Cyberattacks and security vulnerabilities could lead to reduced revenue, increased costs, liability claims, or harm to our reputation or competitive position. Security of our information technology Threats to security can take a variety of forms. Threat actors, including individ"
